cat;Categoria;Data;Total_Carteira_PF;PF_Consignado_Vencido_15d;PF_Consignado_Vencer_90d;PF_Consignado_Vencer_91-360d;PF_Consignado_Vencer_361-1080d;PF_Consignado_Vencer_1081-1800d;PF_Consignado_Vencer_1801-5400d;PF_Consignado_Vencer_acima_5400d;PF_Consignado_TOTAL;PF_Não_Consignado_Vencido_15d;PF_Não_Consignado_Vencer_90d;PF_Não_Consignado_Vencer_91-360d;PF_Não_Consignado_Vencer_361-1080d;PF_Não_Consignado_Vencer_1081-1800d;PF_Não_Consignado_Vencer_1801-5400d;PF_Não_Consignado_Vencer_acima_5400d;PF_Não_Consignado_TOTAL;PF_Veículos_Vencido_15d;PF_Veículos_Vencer_90d;PF_Veículos_Vencer_91-360d;PF_Veículos_Vencer_361-1080d;PF_Veículos_Vencer_1081-1800d;PF_Veículos_Vencer_1801-5400d;PF_Veículos_Vencer_acima_5400d;PF_Veículos_TOTAL;PF_Hab_Vencido_15d;PF_Hab_Vencer_90d;PF_Hab_Vencer_91-360d;PF_Hab_Vencer_361-1080d;PF_Hab_Vencer_1081-1800d;PF_Hab_Vencer_1801-5400d;PF_Hab_Vencer_acima_5400d;PF_Hab_TOTAL;PF_Cartão_Vencido_15d;PF_Cartão_Vencer_90d;PF_Cartão_Vencer_91-360d;PF_Cartão_Vencer_361-1080d;PF_Cartão_Vencer_1081-1800d;PF_Cartão_Vencer_1801-5400d;PF_Cartão_Vencer_acima_5400d;PF_Cartão_TOTAL;PF_Rural_Vencido_15d;PF_Rural_Vencer_90d;PF_Rural_Vencer_91-360d;PF_Rural_Vencer_361-1080d;PF_Rural_Vencer_1081-1800d;PF_Rural_Vencer_1801-5400d;PF_Rural_Vencer_acima_5400d;PF_Rural_TOTAL;PF_Outros_Vencido_15d;PF_Outros_Vencer_90d;PF_Outros_Vencer_91-360d;PF_Outros_Vencer_361-1080d;PF_Outros_Vencer_1081-1800d;PF_Outros_Vencer_1801-5400d;PF_Outros_Vencer_acima_5400d;Outros_TOTAL;Total_Exterior_PF;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Micro;Pequena;Média;Grande;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica;Qt_Operações
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;jun/16;93,08%;99,05%;97,64%;97,56%;98,01%;98,16%;97,65%;99,83%;97,89%;64,11%;75,31%;79,72%;83,60%;86,04%;83,06%;98,00%;79,59%;88,21%;80,86%;80,42%;81,76%;83,65%;88,90%;100,00%;81,39%;99,70%;99,58%;99,57%;99,58%;99,55%;99,79%;99,77%;99,69%;87,79%;92,72%;91,30%;86,84%;98,77%;99,96%;99,89%;91,86%;89,86%;81,78%;79,68%;86,87%;88,37%;91,27%;99,91%;85,04%;93,31%;88,14%;88,56%;93,92%;95,22%;94,47%;86,74%;90,85%;100,00%;94,69%;93,77%;93,63%;94,17%;96,02%;90,53%;99,74%;94,10%;83,98%;70,62%;75,40%;73,76%;80,83%;98,05%;99,63%;82,54%;97,90%;94,58%;87,82%;93,83%;87,54%;98,24%;98,34%;93,17%;85,39%;86,14%;71,30%;76,09%;98,99%;93,58%;97,51%;83,17%;99,66%;99,74%;100,00%;99,96%;100,00%;99,76%;36,93%;99,92%;98,15%;93,31%;92,23%;96,89%;98,67%;98,46%;96,30%;95,97%;51,42%;47,42%;50,59%;46,17%;34,73%;32,33%;43,58%;40,59%;87,52%;94,57%;95,43%;86,63%;69,89%;62,87%;96,77%;88,58%;100,00%;99,73%;99,61%;99,99%;100,00%;100,00%;100,00%;99,83%;77,97%;89,29%;82,10%;60,07%;96,58%;99,98%;89,29%
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;jun/16;2,18%;0,02%;0,03%;0,03%;0,02%;0,00%;0,00%;0,00%;0,02%;0,21%;0,09%;0,14%;0,12%;0,04%;0,03%;0,00%;0,12%;8,23%;15,48%;15,74%;14,34%;12,74%;1,69%;0,00%;14,78%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;5,49%;2,44%;3,11%;9,81%;0,00%;0,00%;0,00%;2,98%;2,92%;1,30%;2,88%;5,06%;4,95%;1,48%;0,00%;3,35%;0,08%;0,36%;0,21%;0,27%;0,13%;0,04%;0,00%;0,24%;0,00%;0,65%;2,13%;1,20%;0,80%;0,41%;0,42%;0,00%;1,13%;8,75%;18,37%;13,22%;11,24%;4,85%;0,01%;0,00%;8,12%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;5,61%;7,28%;26,24%;23,34%;0,86%;5,41%;0,00%;11,27%;0,34%;0,26%;0,00%;0,04%;0,00%;0,24%;63,07%;0,08%;0,11%;2,17%;0,99%;0,21%;0,07%;0,00%;0,00%;0,62%;6,51%;6,56%;7,64%;5,65%;2,24%;0,22%;0,06%;3,36%;1,42%;0,14%;0,29%;0,96%;1,37%;0,37%;0,00%;0,51%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;2,66%;4,23%;4,54%;1,34%;0,01%;0,02%;1,64%
b3S%;b3S - Cooperativa de Crédito Singulares;jun/16;3,12%;0,61%;2,00%;2,13%;1,79%;1,70%;2,26%;0,17%;1,88%;5,60%;13,81%;15,48%;15,83%;13,89%;16,91%;2,00%;14,36%;0,97%;1,86%;2,03%;2,27%;2,59%;2,47%;0,00%;2,11%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,43%;0,53%;0,44%;0,28%;0,32%;0,04%;0,11%;0,49%;5,56%;16,26%;16,24%;5,14%;1,76%;1,32%;0,00%;8,79%;3,41%;10,27%;9,67%;5,23%;3,94%;3,12%;9,41%;7,51%;0,00%;2,64%;3,24%;3,98%;4,46%;3,36%;6,71%;0,26%;3,91%;2,53%;3,55%;4,01%;4,93%;3,65%;0,61%;0,04%;3,01%;2,10%;5,41%;12,04%;6,17%;12,46%;1,76%;1,66%;6,79%;7,29%;5,70%;2,15%;0,07%;0,01%;0,00%;0,00%;4,79%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;1,63%;4,31%;6,12%;2,63%;1,20%;1,49%;3,67%;3,14%;0,01%;0,05%;0,03%;0,01%;0,00%;0,00%;0,00%;0,01%;0,05%;2,29%;1,71%;0,51%;0,08%;0,02%;0,00%;1,28%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;2,79%;4,60%;2,54%;0,36%;3,25%;0,00%;1,98%
b3C%;b3C - Central e Confederação de Cooperativas de Crédito;jun/16;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,03%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,20%;0,63%;0,07%;0,04%;0,01%;0,00%;0,26%;0,00%;0,01%;0,01%;0,02%;0,00%;0,00%;0,00%;0,01%;0,00%;0,00%;0,14%;0,00%;0,00%;0,00%;0,00%;0,03%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,15%;0,57%;0,14%;0,00%;0,00%;0,03%;0,18%;0,00%;0,02%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,07%;0,05%;0,11%;0,05%;0,00%;0,00%;0,00%
b4%;b4 - Banco de Desenvolvimento;jun/16;0,28%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;1,20%;0,51%;0,93%;2,25%;3,78%;4,33%;0,05%;2,13%;0,03%;0,02%;0,08%;0,17%;0,25%;0,49%;0,00%;0,11%;0,00%;1,02%;0,25%;0,20%;0,19%;0,05%;2,19%;0,00%;0,25%;1,03%;1,31%;1,06%;1,75%;2,53%;0,23%;0,00%;1,11%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,03%;0,06%;0,06%;0,02%;0,02%;0,00%;0,04%;41,52%;45,60%;41,25%;47,60%;62,38%;67,10%;56,36%;55,59%;10,90%;2,94%;2,49%;11,51%;27,05%;34,99%;3,23%;9,23%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;15,98%;1,24%;9,61%;37,83%;0,00%;0,00%;0,03%
n1%;n1 - Não Bancário de Crédito;jun/16;1,34%;0,32%;0,33%;0,28%;0,18%;0,14%;0,09%;0,00%;0,21%;30,07%;10,79%;4,65%;0,44%;0,03%;0,00%;0,00%;5,93%;2,59%;1,80%;1,82%;1,63%;1,02%;6,94%;0,00%;1,72%;0,30%;0,42%;0,43%;0,42%;0,45%;0,21%;0,23%;0,31%;6,29%;4,31%;5,15%;3,07%;0,91%;0,00%;0,00%;4,67%;0,44%;0,16%;0,28%;0,67%;1,15%;1,60%;0,03%;0,69%;3,17%;1,21%;1,48%;0,41%;0,46%;1,88%;2,12%;1,28%;0,00%;1,01%;0,41%;0,35%;0,32%;0,12%;0,14%;0,00%;0,35%;3,71%;6,13%;6,30%;8,31%;8,14%;1,11%;0,34%;5,21%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;1,72%;0,88%;0,32%;0,49%;0,15%;1,01%;2,49%;0,77%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,09%;0,04%;0,04%;0,07%;0,03%;0,03%;0,00%;0,05%;0,54%;0,36%;0,48%;0,56%;0,64%;0,34%;0,01%;0,45%;0,11%;0,06%;0,08%;0,38%;1,61%;1,75%;0,00%;0,40%;0,00%;0,27%;0,39%;0,01%;0,00%;0,00%;0,00%;0,17%;0,53%;0,60%;1,10%;0,35%;0,16%;0,00%;7,06%
n2%;n2 - Não Bancário de Mercado de Capitais;jun/16;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;1,73%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
C%;C - Conglomerado;jun/16;61,43%;46,21%;74,50%;74,13%;71,53%;81,56%;93,83%;99,82%;75,15%;56,74%;68,32%;71,21%;74,35%;82,64%;82,20%;98,00%;71,91%;77,15%;77,98%;77,55%;77,76%;78,29%;44,59%;100,00%;77,72%;9,84%;19,64%;17,58%;18,30%;19,42%;25,63%;44,04%;26,19%;77,14%;89,70%;88,86%;79,51%;99,65%;99,96%;99,89%;88,07%;59,90%;75,01%;73,25%;79,70%;79,96%;82,27%;99,91%;77,32%;64,15%;63,82%;59,36%;70,10%;67,91%;56,12%;70,44%;64,10%;99,99%;64,52%;80,76%;75,23%;73,05%;66,41%;87,87%;88,32%;74,52%;65,23%;64,72%;69,78%;66,40%;76,06%;97,07%;99,58%;77,92%;76,84%;90,49%;60,28%;81,35%;85,65%;98,24%;98,34%;81,68%;80,25%;86,15%;71,55%;76,09%;99,20%;98,87%;97,51%;83,13%;85,66%;86,36%;85,91%;80,31%;78,02%;98,74%;100,00%;84,34%;63,86%;80,30%;77,33%;82,16%;94,65%;95,33%;83,91%;82,73%;21,90%;38,94%;40,22%;35,34%;23,19%;16,98%;24,48%;27,68%;54,76%;75,98%;82,77%;82,67%;65,61%;58,57%;96,77%;77,99%;52,10%;41,02%;74,85%;82,83%;89,98%;82,37%;86,03%;73,86%;47,54%;69,45%;68,32%;50,66%;87,57%;99,51%;77,25%
I%;I - Instituição independente;jun/16;38,57%;53,79%;25,50%;25,87%;28,47%;18,44%;6,17%;0,18%;24,85%;43,26%;31,68%;28,79%;25,65%;17,36%;17,80%;2,00%;28,09%;22,85%;22,02%;22,45%;22,24%;21,71%;55,41%;0,00%;22,28%;90,16%;80,36%;82,42%;81,70%;80,58%;74,37%;55,96%;73,81%;22,86%;10,30%;11,14%;20,49%;0,35%;0,04%;0,11%;11,93%;40,10%;24,99%;26,75%;20,30%;20,04%;17,73%;0,09%;22,68%;35,85%;36,18%;40,64%;29,90%;32,09%;43,88%;29,56%;35,90%;0,01%;35,48%;19,24%;24,77%;26,95%;33,59%;12,13%;11,68%;25,48%;34,77%;35,28%;30,22%;33,60%;23,94%;2,93%;0,42%;22,08%;23,16%;9,51%;39,72%;18,65%;14,35%;1,76%;1,66%;18,32%;19,75%;13,85%;28,45%;23,91%;0,80%;1,13%;2,49%;16,87%;14,34%;13,64%;14,09%;19,69%;21,98%;1,26%;0,00%;15,66%;36,14%;19,70%;22,67%;17,84%;5,35%;4,67%;16,09%;17,27%;78,10%;61,06%;59,78%;64,66%;76,81%;83,02%;75,52%;72,32%;45,24%;24,02%;17,23%;17,33%;34,39%;41,43%;3,23%;22,01%;47,90%;58,98%;25,15%;17,17%;10,02%;17,63%;13,97%;26,14%;52,46%;30,55%;31,68%;49,34%;12,43%;0,49%;22,75%
1%;1 - Público;set/16;52,40%;64,65%;45,58%;45,99%;47,78%;52,12%;70,96%;99,58%;49,97%;26,72%;27,68%;37,82%;42,65%;55,65%;75,60%;97,47%;39,34%;16,54%;11,13%;11,44%;12,05%;13,03%;6,98%;92,05%;11,86%;90,31%;83,91%;85,45%;85,20%;84,90%;81,81%;74,22%;81,72%;17,92%;21,37%;13,79%;13,96%;0,05%;0,00%;95,59%;19,70%;76,90%;62,90%;63,82%;69,74%;76,22%;85,21%;99,96%;70,46%;35,86%;28,26%;32,73%;23,69%;31,42%;54,97%;79,65%;30,98%;2,94%;49,75%;35,62%;35,15%;43,39%;60,04%;55,35%;79,32%;41,74%;23,70%;11,96%;18,29%;35,63%;69,51%;93,86%;89,53%;50,34%;32,04%;12,72%;47,82%;46,60%;1,20%;0,00%;28,97%;22,78%;33,90%;13,18%;11,04%;41,02%;16,91%;15,24%;1,23%;13,74%;30,40%;29,28%;32,26%;39,54%;60,26%;67,00%;0,00%;37,90%;50,06%;37,64%;43,30%;60,45%;82,27%;79,50%;60,36%;58,54%;80,01%;72,21%;70,10%;72,51%;84,64%;91,18%;90,70%;81,22%;78,68%;45,59%;27,98%;50,58%;51,08%;84,00%;73,97%;42,57%;40,75%;62,89%;40,15%;39,77%;20,39%;20,73%;69,31%;41,43%;49,91%;52,08%;46,34%;66,68%;17,25%;10,63%;23,62%
2%;2 - Privado Nacional;set/16;35,80%;25,49%;44,59%;44,20%;43,46%;40,69%;23,85%;0,35%;41,49%;66,84%;66,18%;52,67%;46,72%;35,49%;21,88%;2,51%;52,02%;57,00%;53,84%;53,42%;54,62%;56,11%;56,99%;0,01%;54,19%;7,44%;8,66%;7,68%;8,55%;9,41%;13,30%;21,52%;12,96%;66,29%;60,90%;68,54%;31,92%;7,74%;0,27%;4,41%;62,43%;16,91%;28,91%;28,03%;17,45%;12,76%;10,22%;0,04%;20,38%;46,40%;52,58%;44,10%;48,49%;40,88%;28,54%;19,08%;46,69%;87,06%;42,20%;44,79%;48,71%;44,05%;28,33%;28,78%;0,97%;43,34%;59,69%;55,49%;52,19%;38,48%;17,71%;1,05%;0,17%;29,83%;59,48%;68,82%;36,42%;10,24%;22,01%;86,43%;1,60%;59,28%;46,10%;53,90%;31,53%;42,01%;29,04%;74,96%;15,47%;48,27%;34,31%;37,39%;37,56%;42,99%;31,53%;19,70%;89,02%;37,23%;40,67%;44,03%;40,61%;29,17%;13,09%;17,98%;5,71%;30,53%;10,28%;18,51%;20,15%;18,94%;11,97%;7,55%;5,51%;13,42%;12,53%;42,55%;58,55%;37,58%;36,40%;9,23%;0,41%;45,22%;31,72%;19,72%;36,57%;47,73%;73,50%;8,57%;14,11%;39,78%;39,44%;33,63%;36,84%;22,16%;71,18%;82,49%;63,95%
3%;3 - Privado com Controle Estrangeiro;set/16;11,79%;9,86%;9,83%;9,81%;8,76%;7,19%;5,18%;0,06%;8,54%;6,44%;6,14%;9,51%;10,63%;8,86%;2,52%;0,02%;8,64%;26,46%;35,04%;35,14%;33,33%;30,86%;36,03%;7,93%;33,96%;2,25%;7,43%;6,87%;6,25%;5,69%;4,89%;4,26%;5,32%;15,80%;17,73%;17,67%;54,11%;92,21%;99,73%;0,00%;17,88%;6,20%;8,19%;8,15%;12,81%;11,02%;4,58%;0,00%;9,17%;17,74%;19,16%;23,17%;27,81%;27,70%;16,49%;1,27%;22,33%;10,00%;8,04%;19,59%;16,15%;12,56%;11,63%;15,87%;19,71%;14,91%;16,61%;32,55%;29,51%;25,89%;12,78%;5,09%;10,30%;19,83%;8,48%;18,46%;15,76%;43,16%;76,79%;13,57%;69,43%;17,94%;20,00%;32,92%;57,43%;16,97%;54,05%;9,80%;83,30%;37,99%;35,29%;33,33%;30,18%;17,47%;8,21%;13,30%;10,98%;24,87%;9,27%;18,33%;16,09%;10,37%;4,64%;2,52%;33,93%;10,93%;9,70%;9,28%;9,75%;8,55%;3,39%;1,27%;3,79%;5,35%;8,78%;11,86%;13,47%;11,84%;12,52%;6,77%;25,62%;12,21%;27,53%;17,39%;23,29%;12,50%;6,11%;70,71%;16,58%;18,79%;10,65%;14,30%;16,83%;11,17%;11,57%;6,89%;12,43%
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;set/16;93,11%;99,08%;97,42%;97,56%;97,83%;98,19%;98,04%;99,86%;97,83%;65,36%;75,79%;78,55%;82,93%;85,35%;82,31%;98,23%;79,15%;88,05%;81,79%;81,56%;82,96%;85,39%;89,94%;100,00%;82,52%;99,68%;99,47%;99,56%;99,54%;99,55%;99,76%;99,75%;99,67%;88,25%;92,87%;91,27%;86,65%;99,43%;100,00%;99,93%;92,02%;90,53%;81,75%;77,88%;85,40%;88,23%;91,16%;99,99%;84,00%;93,64%;88,42%;87,65%;93,31%;94,89%;95,00%;87,21%;90,66%;100,00%;94,06%;92,84%;92,48%;93,80%;94,74%;92,41%;99,76%;93,31%;84,18%;72,88%;74,54%;73,16%;80,37%;98,02%;99,74%;82,08%;97,76%;94,75%;84,71%;91,94%;90,68%;98,51%;98,40%;92,71%;84,84%;85,98%;73,65%;95,47%;98,57%;93,81%;100,00%;83,59%;99,70%;99,94%;100,00%;100,00%;100,00%;99,77%;95,18%;99,97%;98,39%;95,67%;94,34%;96,96%;98,70%;98,26%;96,70%;96,83%;70,75%;48,25%;48,95%;46,78%;34,80%;33,21%;45,36%;41,15%;94,59%;96,28%;94,85%;85,77%;69,39%;62,86%;97,67%;88,87%;100,00%;99,24%;99,90%;99,98%;99,92%;99,99%;100,00%;99,83%;75,88%;89,05%;80,74%;61,38%;96,77%;99,99%;89,22%
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;set/16;2,03%;0,03%;0,03%;0,03%;0,02%;0,00%;0,00%;0,00%;0,02%;0,21%;0,11%;0,12%;0,12%;0,04%;0,03%;0,00%;0,11%;8,16%;14,56%;14,57%;13,21%;11,18%;1,55%;0,00%;13,68%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;5,31%;2,40%;3,16%;10,39%;0,00%;0,00%;0,00%;2,93%;2,01%;1,59%;2,58%;5,71%;4,93%;1,55%;0,00%;3,42%;0,09%;0,12%;0,25%;0,24%;0,12%;0,03%;0,00%;0,17%;0,00%;1,03%;2,30%;1,26%;0,75%;1,08%;0,78%;0,00%;1,26%;7,91%;16,50%;13,31%;11,43%;4,78%;0,00%;0,00%;8,14%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;5,93%;6,98%;24,29%;3,70%;1,39%;5,99%;0,00%;10,67%;0,30%;0,06%;0,00%;0,00%;0,00%;0,23%;4,82%;0,03%;0,12%;0,61%;1,25%;0,25%;0,08%;0,01%;0,00%;0,43%;7,93%;6,58%;7,19%;5,36%;2,05%;0,20%;0,05%;3,19%;0,15%;0,17%;0,25%;1,02%;1,31%;0,37%;0,00%;0,48%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;2,83%;3,98%;4,48%;1,27%;0,01%;0,01%;1,61%
b3S%;b3S - Cooperativa de Crédito Singulares;set/16;3,27%;0,60%;2,21%;2,11%;1,95%;1,67%;1,86%;0,14%;1,93%;5,95%;14,15%;16,76%;16,48%;14,57%;17,64%;1,77%;15,09%;0,93%;1,77%;1,97%;2,19%;2,48%;2,49%;0,00%;2,03%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,45%;0,54%;0,45%;0,15%;0,19%;0,00%;0,07%;0,50%;5,81%;15,62%;18,54%;5,66%;1,74%;1,34%;0,00%;9,71%;3,45%;10,19%;10,70%;5,94%;4,34%;3,33%;10,00%;7,89%;0,00%;3,35%;3,54%;5,25%;4,89%;3,91%;5,18%;0,24%;4,55%;3,19%;3,38%;4,28%;4,94%;3,73%;0,59%;0,05%;3,12%;2,24%;5,20%;15,29%;8,06%;9,32%;1,49%;1,60%;7,26%;7,58%;6,07%;1,69%;0,08%;0,01%;0,00%;0,00%;4,90%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;1,42%;3,56%;4,15%;2,53%;1,19%;1,66%;3,27%;2,57%;0,02%;0,06%;0,03%;0,02%;0,00%;0,00%;0,00%;0,01%;0,07%;1,87%;1,98%;0,56%;0,08%;0,01%;0,00%;1,35%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;3,23%;4,90%;2,66%;0,39%;3,06%;0,00%;2,05%
b3C%;b3C - Central e Confederação de Cooperativas de Crédito;set/16;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,04%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,78%;0,45%;0,08%;0,05%;0,01%;0,00%;0,32%;0,00%;0,01%;0,01%;0,02%;0,00%;0,00%;0,00%;0,01%;0,00%;0,04%;0,00%;0,00%;0,00%;0,00%;0,00%;0,03%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,10%;0,16%;0,11%;0,00%;0,00%;0,02%;0,08%;0,00%;0,02%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,08%;0,05%;0,11%;0,05%;0,00%;0,00%;0,00%
